Row ID,Order ID,Order Date,Ship Date,Customer ID,Customer Name,Country,City,State,Postal Code,Product ID,Product Name,Sales,Shipping Days,Order Year,Category_Furniture,Category_Office Supplies,Category_Technology,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Region_Central,Region_East,Region_South,Region_West,Sub-Category_Accessories,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
17,CA-2015-105893,2015-11-11,2015-11-18,PK-19075,Pete Kriz,United States,Madison,Wisconsin,53711.0,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",0.6943777865335812,1.736973560456756,2015,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,CA-2015-167164,2015-05-13,2015-05-15,AG-10270,Alejandro Grove,United States,West Jordan,Utah,84084.0,OFF-ST-10000107,Fellowes Super Stor/Drawer,-0.27970554223210586,-1.1209460682454717,2015,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109.0,OFF-AR-10003056,Newell 341,-0.3546153876599727,0.5938057089758649,2015,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109.0,TEC-PH-10001949,Cisco SPA 501G IP Phone,-0.027590983631884322,0.5938057089758649,2015,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109.0,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",-0.3320179566574462,0.5938057089758649,2015,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,CA-2017-137330,2017-12-09,2017-12-13,KB-16585,Ken Black,United States,Fremont,Nebraska,68025.0,OFF-AR-10000246,Newell 318,-0.33722047255209564,0.022221783235419408,2017,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,CA-2017-137330,2017-12-09,2017-12-13,KB-16585,Ken Black,United States,Fremont,Nebraska,68025.0,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",-0.2719815615786999,0.022221783235419408,2017,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,US-2018-156909,2018-07-16,2018-07-18,SF-20065,Sandra Flanagan,United States,Philadelphia,Pennsylvania,19140.0,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-0.25437599245300274,-1.1209460682454717,2018,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,CA-2016-106320,2016-09-25,2016-09-30,EB-13870,Emily Burns,United States,Orem,Utah,84057.0,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1.2988111899380246,0.5938057089758649,2016,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,CA-2017-121755,2017-01-16,2017-01-20,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049.0,OFF-BI-10001634,Wilson Jones Active Use Binders,-0.349687360333998,0.022221783235419408,2017,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,CA-2017-121755,2017-01-16,2017-01-20,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049.0,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,-0.22373859977034005,0.022221783235419408,2017,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4.552458246996713,0.022221783235419408,2016,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-0.3529269637898687,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",-0.17006970113933956,0.022221783235419408,2016,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,OFF-EN-10001509,Poly String Tie Envelopes,-0.363067082193121,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",-0.23054655461898255,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-0.3573315477988357,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,US-2016-150630,2016-09-17,2016-09-21,TB-21520,Tracy Blumstein,United States,Philadelphia,Pennsylvania,19140.0,OFF-AR-10001683,Lumber Crayons,-0.3431251685061457,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,CA-2018-107727,2018-10-19,2018-10-23,MA-17560,Matt Abelman,United States,Houston,Texas,77095.0,OFF-PA-10000249,Easy-staple paper,-0.3212426844731906,0.022221783235419408,2018,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,CA-2017-117590,2017-12-08,2017-12-10,GH-14485,Gene Hale,United States,Richardson,Texas,75080.0,TEC-PH-10004977,GE 30524EE4,1.383254725536025,-1.1209460682454717,2017,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,CA-2017-117590,2017-12-08,2017-12-10,GH-14485,Gene Hale,United States,Richardson,Texas,75080.0,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-0.06359367031387571,-1.1209460682454717,2017,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041.0,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",-0.1874199320616184,0.022221783235419408,2016,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041.0,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",0.48136061364078164,0.022221783235419408,2016,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041.0,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-0.02986030191476516,0.022221783235419408,2016,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,Steve Nguyen,United States,Houston,Texas,77041.0,TEC-PH-10000486,Plantronics HL10 Handset Lifter,0.22405758274709875,0.022221783235419408,2016,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,CA-2018-120999,2018-09-10,2018-09-15,LC-16930,Linda Cazamias,United States,Naperville,Illinois,60540.0,TEC-PH-10004093,Panasonic Kx-TS550,-0.13341590203863132,0.5938057089758649,2018,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,CA-2017-101343,2017-07-17,2017-07-22,RA-19885,Ruben Ausman,United States,Los Angeles,California,90049.0,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",-0.24399011102896018,0.5938057089758649,2017,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,CA-2018-139619,2018-09-19,2018-09-23,ES-14080,Erin Smith,United States,Melbourne,Florida,32935.0,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",-0.21568587118003288,0.022221783235419408,2018,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,CA-2017-118255,2017-03-11,2017-03-13,ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122.0,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",-0.29489816533549945,-1.1209460682454717,2017,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,CA-2017-118255,2017-03-11,2017-03-13,ON-18715,Odella Nelson,United States,Eagan,Minnesota,55122.0,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,-0.34041220009482537,-1.1209460682454717,2017,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CA-2015-146703,2015-10-20,2015-10-25,PO-18865,Patrick O'Donnell,United States,Westland,Michigan,48185.0,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",-0.030016696564358892,0.5938057089758649,2015,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,CA-2017-169194,2017-06-20,2017-06-25,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901.0,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-0.296462111831437,0.5938057089758649,2017,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CA-2017-169194,2017-06-20,2017-06-25,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901.0,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",-0.33348615132710185,0.5938057089758649,2017,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,CA-2016-115742,2016-04-18,2016-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150.0,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",-0.3072820682012908,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,CA-2016-115742,2016-04-18,2016-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150.0,OFF-LA-10002762,Avery 485,-0.2482989432116453,0.022221783235419408,2016,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,CA-2016-115742,2016-04-18,2016-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150.0,FUR-FU-10001706,Longer-Life Soft White Bulbs,-0.3584454607112484,0.022221783235419408,2016,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,CA-2016-115742,2016-04-18,2016-04-22,DP-13000,Darren Powers,United States,New Albany,Indiana,47150.0,FUR-CH-10003061,"Global Leather Task Chair, Black",-0.2246642007577317,0.022221783235419408,2016,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,CA-2017-105816,2017-12-11,2017-12-17,JM-15265,Janet Molinari,United States,New York City,New York,10024.0,OFF-FA-10000304,Advantus Push Pins,-0.3439231003918281,1.1653896347163104,2017,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,CA-2017-105816,2017-12-11,2017-12-17,JM-15265,Janet Molinari,United States,New York City,New York,10024.0,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1.2753839097743882,1.1653896347163104,2017,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,OFF-ST-10000604,Home/Office Personal File Carts,-0.03544263338699945,-1.6925299939859173,2017,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,OFF-PA-10001569,Xerox 232,-0.3165699953506343,-1.6925299939859173,2017,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,FUR-CH-10003968,Novimex Turbo Task Chair,0.14145886566879604,-1.6925299939859173,2017,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",-0.3450402050317835,-1.6925299939859173,2017,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-0.32040006840191,-1.6925299939859173,2017,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,OFF-BI-10001460,Plastic Binding Combs,-0.2909085059070873,-1.6925299939859173,2017,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,CA-2017-111682,2017-06-17,2017-06-18,TB-21055,Ted Butterfield,United States,Troy,New York,12180.0,OFF-AR-10001868,Prang Dustless Chalk Sticks,-0.365594930406963,-1.6925299939859173,2017,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,CA-2016-135545,2016-11-24,2016-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004.0,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",-0.34596580601917515,1.1653896347163104,2016,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,CA-2016-135545,2016-11-24,2016-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004.0,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",-0.32706439551112965,1.1653896347163104,2016,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,CA-2016-135545,2016-11-24,2016-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004.0,OFF-PA-10003892,Xerox 1943,-0.13411489037048915,1.1653896347163104,2016,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,CA-2016-135545,2016-11-24,2016-11-30,KM-16720,Kunst Miller,United States,Los Angeles,California,90004.0,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,-0.2409898871387942,1.1653896347163104,2016,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,US-2016-164175,2016-04-30,2016-05-05,PS-18970,Paul Stevenson,United States,Chicago,Illinois,60610.0,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",-0.02817347390843247,0.5938057089758649,2016,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,CA-2015-106376,2015-12-05,2015-12-10,BS-11590,Brendan Sweed,United States,Gilbert,Arizona,85234.0,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1.4079586967167528,0.5938057089758649,2015,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CA-2015-106376,2015-12-05,2015-12-10,BS-11590,Brendan Sweed,United States,Gilbert,Arizona,85234.0,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,-0.10022193559424213,0.5938057089758649,2015,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,CA-2017-119823,2017-06-04,2017-06-06,KD-16270,Karen Daniels,United States,Springfield,Virginia,22153.0,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",-0.24718183857168993,-1.1209460682454717,2017,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,CA-2017-106075,2017-09-18,2017-09-23,HM-14980,Henry MacAllister,United States,New York City,New York,10009.0,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,-0.3609094743742357,0.5938057089758649,2017,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,CA-2018-114440,2018-09-14,2018-09-17,TB-21520,Tracy Blumstein,United States,Jackson,Michigan,49201.0,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",-0.33787477669835525,-0.5493621425050261,2018,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,US-2016-134026,2016-04-26,2016-05-02,JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109.0,FUR-CH-10000513,High-Back Leather Manager's Chair,0.9593805409513455,1.1653896347163104,2016,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,US-2016-134026,2016-04-26,2016-05-02,JE-15745,Joel Eaton,United States,Memphis,Tennessee,38109.0,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",-0.21341336116960935,1.1653896347163104,2016,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
